origin,dist,orig_latt,orig_long,dist_latt,dist_long,weight,distance,travel_type_id,duration
1263,1329,41.031442,28.936176,41.0793,29.06509,483,14271,1,48.3
1263,1332,41.031442,28.936176,41.1197,29.0254,5,167,1,0.5
1263,1334,41.031442,28.936176,41.0312,28.9391,0,0,1,0
1263,1336,41.031442,28.936176,41.0042,28.9773,525,15517,1,52.5
1263,1338,41.031442,28.936176,41.0422,28.9485,0,0,1,0
1263,1339,41.031442,28.936176,41.0479,28.9337,0,0,1,0
1263,1341,41.031442,28.936176,41.0311,28.9391,0,0,1,0
1263,1343,41.031442,28.936176,41.0062,28.9747,515,15203,1,51.5
1263,1346,41.031442,28.936176,41.026455,28.980856,470,13869,1,47
1263,1350,41.031442,28.936176,41.0391,29.0004,472,13930,1,47.2
1263,1360,41.031442,28.936176,41.027418,28.983277,472,13927,1,47.2
1263,1397,41.031442,28.936176,41.0429,28.9348,0,0,1,0
1263,1400,41.031442,28.936176,41.0096,28.9818,519,15324,1,51.9
1263,1401,41.031442,28.936176,41.0266,28.9844,476,14059,1,47.6
1264,1249,41.0115,28.9833,41.024561,28.979458,38,1305,1,3.8
1264,1251,41.0115,28.9833,41.026726,28.981262,41,1382,1,4.1
1264,1259,41.0115,28.9833,41.01586,28.955911,402,12998,1,40.2
1264,1261,41.0115,28.9833,41.037647,28.996266,42,1436,1,4.2
1264,1263,41.0115,28.9833,41.031442,28.936176,473,15252,1,47.3
1264,1264,41.0115,28.9833,41.0115,28.9833,0,0,1,0
1264,1268,41.0115,28.9833,41.0258,28.9744,380,12301,1,38
1264,1269,41.0115,28.9833,41.0426,29.0398,21,630,1,2.1
1264,1271,41.0115,28.9833,41.01766,28.9688,39,1337,1,3.9
1264,1272,41.0115,28.9833,41.0161,28.9642,383,12387,1,38.3
1264,1273,41.0115,28.9833,41.007915,28.979345,2,73,1,0.2
1264,1275,41.0115,28.9833,41.0168,28.9719,32,1089,1,3.2
1264,1276,41.0115,28.9833,41.0117,28.9813,3,130,1,0.3
1264,1280,41.0115,28.9833,41.0085,28.9801,2,67,1,0.2
1264,1284,41.0115,28.9833,41.0053,28.9768,4,145,1,0.4
1264,1286,41.0115,28.9833,41.037002,28.985092,380,12284,1,38
1264,1291,41.0115,28.9833,41.0492,29.0111,46,1552,1,4.6
1264,1292,41.0115,28.9833,41.0848,29.0567,57,1916,1,5.7
1264,1293,41.0115,28.9833,41.0292,28.9611,419,13550,1,41.9
1264,1294,41.0115,28.9833,40.9735,28.7844,15152,467146,1,1497.9
1264,1295,41.0115,28.9833,41.01903,28.95036,422,13643,1,42.2
1264,1296,41.0115,28.9833,41.0047,28.97222,1,65,1,0.1
1264,1297,41.0115,28.9833,41.0127,28.96448,34,1171,1,3.4
1264,1298,41.0115,28.9833,40.9643,28.7995,15154,467243,1,1498.2
1264,1299,41.0115,28.9833,41.0085,28.98108,4,123,1,0.4
1264,1319,41.0115,28.9833,41.0211,29.0041,13,385,1,1.3
1264,1320,41.0115,28.9833,41.0379,29.9553,2939,65903,1,291.1
1264,1326,41.0115,28.9833,41.0083,28.9778,1,46,1,0.1
1264,1328,41.0115,28.9833,40.8766,29.0906,279,8613,1,27.9
1264,1329,41.0115,28.9833,41.0793,29.06509,29,981,1,2.9
1264,1332,41.0115,28.9833,41.1197,29.0254,467,15084,1,46.7
